ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,url,NUTS2,NUTS2_Label,NUTS3,NUTS3_Label,Domain_Status
PT-HEI-079,Santa Maria Higher School of Health,Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.santamariasaude.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,D
PT-HEI-080,Alcoitao Higher School of Health,Cooperative,Non-integrated Polytechnic School,Not found in European Commission sources,www.essa.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,D
PT-HEI-081,Egas Moniz Higher School of Health,Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.egasmoniz.edu.pt,PT1B,Peninsula de Setubal,PT1B0,Peninsula de Setubal,K
PT-HEI-082,D. Dinis Higher Institute (ISDOM),Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.isdom.pt,PT19,Centro,PT193,Regiao de Leiria,U
PT-HEI-083,Higher Institute of Administration and Management (ISAG),Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.isag.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,K
PT-HEI-084,Higher Institute of Administration and Languages (ISAL),Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.isal.pt,PT30,Regiao Autonoma da Madeira,PT300,Regiao Autonoma da Madeira,U
PT-HEI-085,Higher Institute of Information Science and Administration (ISCIA),Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.iscia.edu.pt,PT19,Centro,PT191,Regiao de Aveiro,U
PT-HEI-086,Higher Institute of Educational Sciences of Douro (ISCE Douro),Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.iscedouro.pt,PT11,Norte,PT11C,Tamega e Sousa,U
PT-HEI-087,Higher Institute of Business Sciences and Tourism (ISCET),Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.iscet.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,K
PT-HEI-088,Higher Institute of Entre Douro e Vouga (ISVOUGA),Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.isvouga.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,K
PT-HEI-089,Higher Institute of Advanced Technologies of Lisbon (ISTEC Lisboa),Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.istec.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-090,Higher Institute of Advanced Technologies of Porto (ISTEC Porto),Private,Non-integrated Polytechnic School,Not found in European Commission sources,istec-porto.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-091,ISAVE Higher Institute of Health,Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.isave.pt,PT11,Norte,PT112,Cavado,K
PT-HEI-092,ISCE Higher Institute of Lisbon and Vale do Tejo,Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.isce.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,U
PT-HEI-093,ISEC Lisboa Higher Institute of Education and Sciences,Private,Non-integrated Polytechnic School,Not found in European Commission sources,www.iseclisboa.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,K
